"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri May 19 06:27:47 GMT 2023","Fri May 19 06:28:04 GMT 2023","17295","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case8","Поиск товаров согласно поисковому запросу В корзине появится товар согласно поисковому запросу - очки и через плечо",""
"skipped","Fri May 19 06:24:59 GMT 2023","Fri May 19 06:24:59 GMT 2023","0","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case6","Добавление всех товаров из подборок на главной странице в избранное, корзину, удаление товаров",""
"passed","Fri May 19 06:28:36 GMT 2023","Fri May 19 06:29:18 GMT 2023","41209","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Кроссовки женские фирма = New Balance",""
"passed","Fri May 19 06:28:26 GMT 2023","Fri May 19 06:28:36 GMT 2023","10025","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Обувь мужская спортивная фирма = Reebok",""
"passed","Fri May 19 06:28:17 GMT 2023","Fri May 19 06:28:26 GMT 2023","9109","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Обувь мужская фирма = Puma",""
"failed","Fri May 19 06:29:41 GMT 2023","Fri May 19 06:29:53 GMT 2023","11567","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Толстовки женские фирма = New Balance",""
"passed","Fri May 19 06:27:31 GMT 2023","Fri May 19 06:27:47 GMT 2023","16007","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case8","Поиск товаров согласно поисковому запросу В корзине появится товар согласно поисковому запросу - толстовка и городские",""
"passed","Fri May 19 06:24:21 GMT 2023","Fri May 19 06:24:42 GMT 2023","20530","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case3","Переходы: каталог - добавление товара в избранное и в корзину, удаление из страницы избранных товаров и корзины",""
"passed","Fri May 19 06:26:52 GMT 2023","Fri May 19 06:27:15 GMT 2023","23104","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case8","Поиск товаров согласно поисковому запросу В корзине появится товар согласно поисковому запросу - футболка и кроссовки",""
"failed","Fri May 19 06:28:05 GMT 2023","Fri May 19 06:28:17 GMT 2023","12681","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Футболки мужские фирма = Reebok",""
"failed","Fri May 19 06:29:30 GMT 2023","Fri May 19 06:29:41 GMT 2023","11097","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Футболки женские фирма = New Balance",""
"passed","Fri May 19 06:23:43 GMT 2023","Fri May 19 06:23:48 GMT 2023","4077","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case11","Работа с excel файлом",""
"passed","Fri May 19 06:24:59 GMT 2023","Fri May 19 06:26:52 GMT 2023","112688","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case7","Проверка перехода по категориям - баннеры, header, widget, footer",""
"passed","Fri May 19 06:27:15 GMT 2023","Fri May 19 06:27:31 GMT 2023","16262","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case8","Поиск товаров согласно поисковому запросу В корзине появится товар согласно поисковому запросу - кеды и обувь",""
"failed","Fri May 19 06:29:18 GMT 2023","Fri May 19 06:29:30 GMT 2023","12485","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case9","Поиск товара по категориям с настройкой фильтра для товаров В поисковом запросе выдается товар из категория = Толстовки мужские фирма = Nike",""
"passed","Fri May 19 06:24:42 GMT 2023","Fri May 19 06:24:59 GMT 2023","17154","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case4","Переходы: каталог - добавление товара в избранное, удаление из страницы избранных товаров",""
"passed","Fri May 19 06:24:06 GMT 2023","Fri May 19 06:24:21 GMT 2023","15546","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case2","Переходы: страница бренда - сортировка по возрасту - добавление в корзину",""
"skipped","Fri May 19 06:24:59 GMT 2023","Fri May 19 06:24:59 GMT 2023","0","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case5","Операции с товаром из категории хиты продаж и женская одежда(баннер)",""
"failed","Fri May 19 06:23:35 GMT 2023","Fri May 19 06:23:43 GMT 2023","8150","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case10","Работа с пдф файлом",""
"failed","Fri May 19 06:23:48 GMT 2023","Fri May 19 06:24:06 GMT 2023","18160","","autotest.ui.navisale.test.NavisaleTest","","autotest.ui.navisale.test.NavisaleTest","case1","Переходы: категория - подкатегория - сортировка товара по скидке - добавление в избранное",""
